iter	Passed	Remaining
857	3436	568
858	3439	564
859	3443	560
860	3446	556
861	3450	552
862	3454	548
863	3457	544
864	3460	540
865	3464	536
866	3467	531
867	3471	527
868	3475	523
869	3478	519
870	3482	515
871	3485	511
872	3489	507
873	3492	503
874	3496	499
875	3500	495
876	3503	491
877	3508	487
878	3512	483
879	3516	479
880	3520	475
881	3523	471
882	3527	467
883	3530	463
884	3534	459
885	3537	455
886	3541	451
887	3544	446
888	3547	442
889	3551	438
890	3554	434
891	3558	430
892	3561	426
893	3565	422
894	3568	418
895	3571	414
896	3576	410
897	3579	406
898	3582	402
899	3586	398
900	3589	394
901	3605	391
902	3611	387
903	3617	384
904	3622	380
905	3627	376
906	3631	372
907	3635	368
908	3638	364
909	3642	360
910	3646	356
911	3649	352
912	3653	348
913	3656	344
914	3660	340
915	3663	335
916	3667	331
917	3670	327
918	3674	323
919	3677	319
920	3681	315
921	3684	311
922	3688	307
923	3691	303
924	3696	299
925	3700	295
926	3705	291
927	3708	287
928	3711	283
929	3715	279
930	3718	275
931	3721	271
932	3725	267
933	3728	263
934	3732	259
935	3735	255
936	3739	251
937	3742	247
938	3746	243
939	3750	239
940	3754	235
941	3757	231
942	3761	227
943	3764	223
944	3768	219
945	3771	215
946	3775	211
947	3779	207
948	3782	203
949	3786	199
950	3789	195
951	3793	191
952	3797	187
953	3800	183
954	3804	179
955	3807	175
956	3811	171
957	3814	167
958	3818	163
959	3821	159
960	3825	155
961	3842	151
962	3847	147
963	3853	143
964	3859	139
965	3863	135
966	3868	132
967	3872	128
968	3875	123
969	3879	119
970	3884	116
971	3887	111
972	3891	107
973	3894	103
974	3898	99
975	3901	95
976	3905	91
977	3909	87
978	3914	83
979	3918	79
980	3921	75
981	3925	71
982	3928	67
983	3932	63
984	3935	59
985	3940	55
986	3943	51
987	3947	47
988	3951	43
989	3954	39
990	3958	35
991	3961	31
992	3965	27
993	3968	23
994	3972	19
995	3975	15
996	3979	11
997	3983	7
998	3986	3
999	3990	0
